case_received_date,case_status,class_of_admission,country_of_citizenship,decision_date,employer_city,employer_country,employer_name,employer_state,foreign_worker_info_birth_country,job_info_education,pw_determ_date,pw_expire_date,pw_job_title_9089,Processing Day
06-11-2009,Denied,F-1,TAIWAN,15-05-2015,ATASCADERO,UNITED STATES OF AMERICA,ATASCADERO STATE HOSPITAL,CALIFORNIA,TAIWAN,Doctorate,01-09-2009,31-08-2012,Clinical Psychologists,2016
19-11-2009,Denied,H-1B,CANADA,15-10-2014,REDMOND,UNITED STATES OF AMERICA,MICROSOFT CORPORATION,WASHINGTON,CANADA,Bachelor's,15-07-2009,30-06-2010,Computer & Info. Systems Managers,1791
28-10-2009,Certified,H-1B,INDIA,10-09-2015,GLEN ALLEN,UNITED STATES OF AMERICA,LUCID TECHNOLOGIES INC.,VIRGINIA,INDIA,Bachelor's,08-07-2009,30-06-2010,Computer Software Developer,2143
22-10-2009,Denied,C-1,PHILIPPINES,13-04-2015,GLADWYNE,UNITED STATES OF AMERICA,JOSEPHINE WANG,PENNSYLVANIA,PHILIPPINES,High School,18-11-2008,30-06-2009,LIVE-IN HOUSEHOLD DOMESTIC SERVICE WORKER,1999
23-10-2009,Denied,H-1B,UNITED KINGDOM,30-01-2015,DEARBORN,UNITED STATES OF AMERICA,THE SOFTAD GROUP LLC DBA CHANNELNET,MICHIGAN,UNITED KINGDOM,Bachelor's,01-05-2009,30-07-2009,S/W Applications Engineer,1925
10-12-2009,Denied,H-1B,PAKISTAN,15-05-2015,WALTHAM,UNITED STATES OF AMERICA,"PRTM MANAGEMENT CONSULTANTS,INC",MASSACHUSETTS,PAKISTAN,Master's,13-08-2009,30-06-2010,Management Analysts,1982
13-11-2009,Denied,H-1B,SLOVAKIA,12-08-2015,PALO ALTO,UNITED STATES OF AMERICA,"VMWARE, INC.",CALIFORNIA,SLOVAKIA,Bachelor's,30-07-2009,31-12-2009,Technical Writers,2098
09-11-2009,Denied,H-1B,INDONESIA,27-05-2015,SPRINGDALE,UNITED STATES OF AMERICA,"TYSON FOODS, INC.",ARKANSAS,INDONESIA,Bachelor's,02-09-2009,01-09-2010,Advertising and Promotions Managers,2025
09-12-2009,Denied,H-1B,ECUADOR,15-05-2015,SAN JUAN,UNITED STATES OF AMERICA,HUNTER DEL CARIBE CORP.,PUERTO RICO,ECUADOR,Bachelor's,30-09-2009,30-06-2010,Information Systems Manager,1983
21-12-2009,Denied,L-1,UNITED KINGDOM,29-07-2015,NEW YORK,UNITED STATES OF AMERICA,"SMARTSTREAM TECHNOLOGIES, INC",NEW YORK,UNITED KINGDOM,High School,17-07-2009,30-06-2010,Systems Analyst (Solutions Architect),2046
08-01-2010,Denied,H-1B,INDIA,09-01-2015,PLANO,UNITED STATES OF AMERICA,INFOSYS TECHNOLOGIES LIMITED,TEXAS,INDIA,Bachelor's,15-07-2009,01-07-2010,Systems Analyst,1827
08-02-2010,Denied,H-1B,JAPAN,28-05-2015,DORAVILLE,UNITED STATES OF AMERICA,SHIRASAGI INTERNATIONAL CORPORATION,GEORGIA,JAPAN,Bachelor's,08-10-2009,30-06-2010,Kindergarten Teachers,1935
21-01-2010,Denied,H-1B,JAPAN,19-05-2015,CRYSTAL RIVER,UNITED STATES OF AMERICA,"CRYSTAL AERO GROUP, INC.",FLORIDA,JAPAN,Bachelor's,27-10-2009,30-06-2010,Vocational Education Teachers Postsecondary,1944
15-12-2009,Denied,H-1B,INDIA,30-01-2015,FREMONT,UNITED STATES OF AMERICA,ERP & ERP CORP,CALIFORNIA,INDIA,Bachelor's,04-12-2009,30-06-2010,computer software engineer,1872
18-12-2009,Denied,H-1B,INDIA,05-05-2015,STAMFORD,UNITED STATES OF AMERICA,"UBS AG,",CONNECTICUT,INDIA,Master's,05-06-2009,04-09-2009,Financial Manager,1964
20-12-2009,Denied,H-1B,CHINA,02-07-2015,NEW YORK,UNITED STATES OF AMERICA,SINOVISION INC.,NEW YORK,CHINA,Bachelor's,07-05-2009,05-08-2009,Reporters and Correspondents,2020
16-02-2010,Denied,H-1B,SOUTH KOREA,05-08-2015,WASHINGTON,UNITED STATES OF AMERICA,"NORTHPOLE US, LLC",MISSOURI,SOUTH KOREA,Bachelor's,25-09-2009,30-06-2010,Marketing Managers,1996
01-02-2010,Denied,H-1B,TURKEY,02-01-2015,SOMERSET,UNITED STATES OF AMERICA,EVEREST PRODUCTION CORPORATION,NEW JERSEY,TURKEY,Master's,24-08-2009,30-06-2010,Producers,1796
31-12-2009,Denied,H-1B,TAIWAN,30-01-2015,CHEVERLY,UNITED STATES OF AMERICA,DIMENSIONS HEALTH CORPORATION,MARYLAND,TAIWAN,Master's,17-07-2009,16-10-2009,Speech-Language Pathologists,1856
20-05-2010,Denied,H-1B,INDIA,08-07-2015,FREMONT,UNITED STATES OF AMERICA,DGN TECHNOLOGIES INC.,CALIFORNIA,INDIA,Bachelor's,26-04-2010,25-07-2010,"computer software engineers, application",1875
